!Series_title	"Alteration of peripheral blood monocyte gene expression in humans following diesel exhaust inhalation"
!Sample_status	"Public on Nov 17 2013"	"Public on Nov 17 2013"	"Public on Nov 17 2013"	"Public on Nov 17 2013"	"Public on Nov 17 2013"	"Public on Nov 17 2013"	"Public on Nov 17 2013"	"Public on Nov 17 2013"	"Public on Nov 17 2013"	"Public on Nov 17 2013"	"Public on Nov 17 2013"	"Public on Nov 17 2013"	"Public on Nov 17 2013"	"Public on Nov 17 2013"	"Public on Nov 17 2013"	"Public on Nov 17 2013"	"Public on Nov 17 2013"	"Public on Nov 17 2013"	"Public on Nov 17 2013"	"Public on Nov 17 2013"	"Public on Nov 17 2013"	"Public on Nov 17 2013"	"Public on Nov 17 2013"	"Public on Nov 17 2013"	"Public on Nov 17 2013"	"Public on Nov 17 2013"	"Public on Nov 17 2013"	"Public on Nov 17 2013"
!Sample_submission_date	"Nov 22 2010"	"Nov 22 2010"	"Nov 22 2010"	"Nov 22 2010"	"Nov 22 2010"	"Nov 22 2010"	"Nov 22 2010"	"Nov 22 2010"	"Nov 22 2010"	"Nov 22 2010"	"Nov 22 2010"	"Nov 22 2010"	"Nov 22 2010"	"Nov 22 2010"	"Nov 22 2010"	"Nov 22 2010"	"Nov 22 2010"	"Nov 22 2010"	"Nov 22 2010"	"Nov 22 2010"	"Nov 22 2010"	"Nov 22 2010"	"Nov 22 2010"	"Nov 22 2010"	"Nov 22 2010"	"Nov 22 2010"	"Nov 22 2010"	"Nov 22 2010"
!Sample_last_update_date	"Nov 17 2013"	"Nov 17 2013"	"Nov 17 2013"	"Nov 17 2013"	"Nov 17 2013"	"Nov 17 2013"	"Nov 17 2013"	"Nov 17 2013"	"Nov 17 2013"	"Nov 17 2013"	"Nov 17 2013"	"Nov 17 2013"	"Nov 17 2013"	"Nov 17 2013"	"Nov 17 2013"	"Nov 17 2013"	"Nov 17 2013"	"Nov 17 2013"	"Nov 17 2013"	"Nov 17 2013"	"Nov 17 2013"	"Nov 17 2013"	"Nov 17 2013"	"Nov 17 2013"	"Nov 17 2013"	"Nov 17 2013"	"Nov 17 2013"	"Nov 17 2013"
!Sample_type	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"
!Sample_channel_count	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
!Sample_source_name_ch1	"PBMC, pre exposue, subject 58"	"PBMC, post exposue, subject 58"	"PBMC, pre exposue, subject 64"	"PBMC, post exposue, subject 64"	"PBMC, pre exposue, subject 65"	"PBMC, post exposue, subject 65"	"PBMC, pre exposue, subject 71"	"PBMC, post exposue, subject 71"	"PBMC, pre exposue, subject 72"	"PBMC, post exposue, subject 72"	"PBMC, pre exposue, subject 80"	"PBMC, post exposue, subject 80"	"PBMC, pre exposue, subject 83"	"PBMC, post exposue, subject 83"	"PBMC, pre exposue, subject 103"	"PBMC, post exposue, subject 103"	"PBMC, pre exposue, subject 104"	"PBMC, post exposue, subject 104"	"PBMC, pre exposue, subject 108"	"PBMC, post exposue, subject 108"	"PBMC, pre exposue, subject 114"	"PBMC, post exposue, subject 114"	"PBMC, pre exposue, subject 117"	"PBMC, post exposue, subject 117"	"PBMC, pre exposue, subject 118"	"PBMC, post exposue, subject 118"	"PBMC, pre exposue, subject 124"	"PBMC, post exposue, subject 124"
!Sample_organism_ch1	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"
!Sample_characteristics_ch1	"cell type: PBMC"	"cell type: PBMC"	"cell type: PBMC"	"cell type: PBMC"	"cell type: PBMC"	"cell type: PBMC"	"cell type: PBMC"	"cell type: PBMC"	"cell type: PBMC"	"cell type: PBMC"	"cell type: PBMC"	"cell type: PBMC"	"cell type: PBMC"	"cell type: PBMC"	"cell type: PBMC"	"cell type: PBMC"	"cell type: PBMC"	"cell type: PBMC"	"cell type: PBMC"	"cell type: PBMC"	"cell type: PBMC"	"cell type: PBMC"	"cell type: PBMC"	"cell type: PBMC"	"cell type: PBMC"	"cell type: PBMC"	"cell type: PBMC"	"cell type: PBMC"
!Sample_treatment_protocol_ch1	"Each exposure session lasted 60 minutes and occurred at approximately the same time of day in the early morning. Research technicians verified adherence to health, medication and dietary criteria. An ECG was recorded; blood was drawn for physiologic endpoints (to be reported elsewhere) and RNA extraction. ECG leads were attached for continuous monitoring during exposure. Following check-in and pre-exposure testing, subjects walked approximately 40 yards and took a two story elevator ride to the CEF located in the same building. Participants were confortably seated and asked to read or study during sessions. Subjects and real-time exposure data were continuously monitored by staff."	"Each exposure session lasted 60 minutes and occurred at approximately the same time of day in the early morning. Research technicians verified adherence to health, medication and dietary criteria. An ECG was recorded; blood was drawn for physiologic endpoints (to be reported elsewhere) and RNA extraction. ECG leads were attached for continuous monitoring during exposure. Following check-in and pre-exposure testing, subjects walked approximately 40 yards and took a two story elevator ride to the CEF located in the same building. Participants were confortably seated and asked to read or study during sessions. Subjects and real-time exposure data were continuously monitored by staff."	"Each exposure session lasted 60 minutes and occurred at approximately the same time of day in the early morning. Research technicians verified adherence to health, medication and dietary criteria. An ECG was recorded; blood was drawn for physiologic endpoints (to be reported elsewhere) and RNA extraction. ECG leads were attached for continuous monitoring during exposure. Following check-in and pre-exposure testing, subjects walked approximately 40 yards and took a two story elevator ride to the CEF located in the same building. Participants were confortably seated and asked to read or study during sessions. Subjects and real-time exposure data were continuously monitored by staff."	"Each exposure session lasted 60 minutes and occurred at approximately the same time of day in the early morning. Research technicians verified adherence to health, medication and dietary criteria. An ECG was recorded; blood was drawn for physiologic endpoints (to be reported elsewhere) and RNA extraction. ECG leads were attached for continuous monitoring during exposure. Following check-in and pre-exposure testing, subjects walked approximately 40 yards and took a two story elevator ride to the CEF located in the same building. Participants were confortably seated and asked to read or study during sessions. Subjects and real-time exposure data were continuously monitored by staff."	"Each exposure session lasted 60 minutes and occurred at approximately the same time of day in the early morning. Research technicians verified adherence to health, medication and dietary criteria. An ECG was recorded; blood was drawn for physiologic endpoints (to be reported elsewhere) and RNA extraction. ECG leads were attached for continuous monitoring during exposure. Following check-in and pre-exposure testing, subjects walked approximately 40 yards and took a two story elevator ride to the CEF located in the same building. Participants were confortably seated and asked to read or study during sessions. Subjects and real-time exposure data were continuously monitored by staff."	"Each exposure session lasted 60 minutes and occurred at approximately the same time of day in the early morning. Research technicians verified adherence to health, medication and dietary criteria. An ECG was recorded; blood was drawn for physiologic endpoints (to be reported elsewhere) and RNA extraction. ECG leads were attached for continuous monitoring during exposure. Following check-in and pre-exposure testing, subjects walked approximately 40 yards and took a two story elevator ride to the CEF located in the same building. Participants were confortably seated and asked to read or study during sessions. Subjects and real-time exposure data were continuously monitored by staff."	"Each exposure session lasted 60 minutes and occurred at approximately the same time of day in the early morning. Research technicians verified adherence to health, medication and dietary criteria. An ECG was recorded; blood was drawn for physiologic endpoints (to be reported elsewhere) and RNA extraction. ECG leads were attached for continuous monitoring during exposure. Following check-in and pre-exposure testing, subjects walked approximately 40 yards and took a two story elevator ride to the CEF located in the same building. Participants were confortably seated and asked to read or study during sessions. Subjects and real-time exposure data were continuously monitored by staff."	"Each exposure session lasted 60 minutes and occurred at approximately the same time of day in the early morning. Research technicians verified adherence to health, medication and dietary criteria. An ECG was recorded; blood was drawn for physiologic endpoints (to be reported elsewhere) and RNA extraction. ECG leads were attached for continuous monitoring during exposure. Following check-in and pre-exposure testing, subjects walked approximately 40 yards and took a two story elevator ride to the CEF located in the same building. Participants were confortably seated and asked to read or study during sessions. Subjects and real-time exposure data were continuously monitored by staff."	"Each exposure session lasted 60 minutes and occurred at approximately the same time of day in the early morning. Research technicians verified adherence to health, medication and dietary criteria. An ECG was recorded; blood was drawn for physiologic endpoints (to be reported elsewhere) and RNA extraction. ECG leads were attached for continuous monitoring during exposure. Following check-in and pre-exposure testing, subjects walked approximately 40 yards and took a two story elevator ride to the CEF located in the same building. Participants were confortably seated and asked to read or study during sessions. Subjects and real-time exposure data were continuously monitored by staff."	"Each exposure session lasted 60 minutes and occurred at approximately the same time of day in the early morning. Research technicians verified adherence to health, medication and dietary criteria. An ECG was recorded; blood was drawn for physiologic endpoints (to be reported elsewhere) and RNA extraction. ECG leads were attached for continuous monitoring during exposure. Following check-in and pre-exposure testing, subjects walked approximately 40 yards and took a two story elevator ride to the CEF located in the same building. Participants were confortably seated and asked to read or study during sessions. Subjects and real-time exposure data were continuously monitored by staff."	"Each exposure session lasted 60 minutes and occurred at approximately the same time of day in the early morning. Research technicians verified adherence to health, medication and dietary criteria. An ECG was recorded; blood was drawn for physiologic endpoints (to be reported elsewhere) and RNA extraction. ECG leads were attached for continuous monitoring during exposure. Following check-in and pre-exposure testing, subjects walked approximately 40 yards and took a two story elevator ride to the CEF located in the same building. Participants were confortably seated and asked to read or study during sessions. Subjects and real-time exposure data were continuously monitored by staff."	"Each exposure session lasted 60 minutes and occurred at approximately the same time of day in the early morning. Research technicians verified adherence to health, medication and dietary criteria. An ECG was recorded; blood was drawn for physiologic endpoints (to be reported elsewhere) and RNA extraction. ECG leads were attached for continuous monitoring during exposure. Following check-in and pre-exposure testing, subjects walked approximately 40 yards and took a two story elevator ride to the CEF located in the same building. Participants were confortably seated and asked to read or study during sessions. Subjects and real-time exposure data were continuously monitored by staff."	"Each exposure session lasted 60 minutes and occurred at approximately the same time of day in the early morning. Research technicians verified adherence to health, medication and dietary criteria. An ECG was recorded; blood was drawn for physiologic endpoints (to be reported elsewhere) and RNA extraction. ECG leads were attached for continuous monitoring during exposure. Following check-in and pre-exposure testing, subjects walked approximately 40 yards and took a two story elevator ride to the CEF located in the same building. Participants were confortably seated and asked to read or study during sessions. Subjects and real-time exposure data were continuously monitored by staff."	"Each exposure session lasted 60 minutes and occurred at approximately the same time of day in the early morning. Research technicians verified adherence to health, medication and dietary criteria. An ECG was recorded; blood was drawn for physiologic endpoints (to be reported elsewhere) and RNA extraction. ECG leads were attached for continuous monitoring during exposure. Following check-in and pre-exposure testing, subjects walked approximately 40 yards and took a two story elevator ride to the CEF located in the same building. Participants were confortably seated and asked to read or study during sessions. Subjects and real-time exposure data were continuously monitored by staff."	"Each exposure session lasted 60 minutes and occurred at approximately the same time of day in the early morning. Research technicians verified adherence to health, medication and dietary criteria. An ECG was recorded; blood was drawn for physiologic endpoints (to be reported elsewhere) and RNA extraction. ECG leads were attached for continuous monitoring during exposure. Following check-in and pre-exposure testing, subjects walked approximately 40 yards and took a two story elevator ride to the CEF located in the same building. Participants were confortably seated and asked to read or study during sessions. Subjects and real-time exposure data were continuously monitored by staff."	"Each exposure session lasted 60 minutes and occurred at approximately the same time of day in the early morning. Research technicians verified adherence to health, medication and dietary criteria. An ECG was recorded; blood was drawn for physiologic endpoints (to be reported elsewhere) and RNA extraction. ECG leads were attached for continuous monitoring during exposure. Following check-in and pre-exposure testing, subjects walked approximately 40 yards and took a two story elevator ride to the CEF located in the same building. Participants were confortably seated and asked to read or study during sessions. Subjects and real-time exposure data were continuously monitored by staff."	"Each exposure session lasted 60 minutes and occurred at approximately the same time of day in the early morning. Research technicians verified adherence to health, medication and dietary criteria. An ECG was recorded; blood was drawn for physiologic endpoints (to be reported elsewhere) and RNA extraction. ECG leads were attached for continuous monitoring during exposure. Following check-in and pre-exposure testing, subjects walked approximately 40 yards and took a two story elevator ride to the CEF located in the same building. Participants were confortably seated and asked to read or study during sessions. Subjects and real-time exposure data were continuously monitored by staff."	"Each exposure session lasted 60 minutes and occurred at approximately the same time of day in the early morning. Research technicians verified adherence to health, medication and dietary criteria. An ECG was recorded; blood was drawn for physiologic endpoints (to be reported elsewhere) and RNA extraction. ECG leads were attached for continuous monitoring during exposure. Following check-in and pre-exposure testing, subjects walked approximately 40 yards and took a two story elevator ride to the CEF located in the same building. Participants were confortably seated and asked to read or study during sessions. Subjects and real-time exposure data were continuously monitored by staff."	"Each exposure session lasted 60 minutes and occurred at approximately the same time of day in the early morning. Research technicians verified adherence to health, medication and dietary criteria. An ECG was recorded; blood was drawn for physiologic endpoints (to be reported elsewhere) and RNA extraction. ECG leads were attached for continuous monitoring during exposure. Following check-in and pre-exposure testing, subjects walked approximately 40 yards and took a two story elevator ride to the CEF located in the same building. Participants were confortably seated and asked to read or study during sessions. Subjects and real-time exposure data were continuously monitored by staff."	"Each exposure session lasted 60 minutes and occurred at approximately the same time of day in the early morning. Research technicians verified adherence to health, medication and dietary criteria. An ECG was recorded; blood was drawn for physiologic endpoints (to be reported elsewhere) and RNA extraction. ECG leads were attached for continuous monitoring during exposure. Following check-in and pre-exposure testing, subjects walked approximately 40 yards and took a two story elevator ride to the CEF located in the same building. Participants were confortably seated and asked to read or study during sessions. Subjects and real-time exposure data were continuously monitored by staff."	"Each exposure session lasted 60 minutes and occurred at approximately the same time of day in the early morning. Research technicians verified adherence to health, medication and dietary criteria. An ECG was recorded; blood was drawn for physiologic endpoints (to be reported elsewhere) and RNA extraction. ECG leads were attached for continuous monitoring during exposure. Following check-in and pre-exposure testing, subjects walked approximately 40 yards and took a two story elevator ride to the CEF located in the same building. Participants were confortably seated and asked to read or study during sessions. Subjects and real-time exposure data were continuously monitored by staff."	"Each exposure session lasted 60 minutes and occurred at approximately the same time of day in the early morning. Research technicians verified adherence to health, medication and dietary criteria. An ECG was recorded; blood was drawn for physiologic endpoints (to be reported elsewhere) and RNA extraction. ECG leads were attached for continuous monitoring during exposure. Following check-in and pre-exposure testing, subjects walked approximately 40 yards and took a two story elevator ride to the CEF located in the same building. Participants were confortably seated and asked to read or study during sessions. Subjects and real-time exposure data were continuously monitored by staff."	"Each exposure session lasted 60 minutes and occurred at approximately the same time of day in the early morning. Research technicians verified adherence to health, medication and dietary criteria. An ECG was recorded; blood was drawn for physiologic endpoints (to be reported elsewhere) and RNA extraction. ECG leads were attached for continuous monitoring during exposure. Following check-in and pre-exposure testing, subjects walked approximately 40 yards and took a two story elevator ride to the CEF located in the same building. Participants were confortably seated and asked to read or study during sessions. Subjects and real-time exposure data were continuously monitored by staff."	"Each exposure session lasted 60 minutes and occurred at approximately the same time of day in the early morning. Research technicians verified adherence to health, medication and dietary criteria. An ECG was recorded; blood was drawn for physiologic endpoints (to be reported elsewhere) and RNA extraction. ECG leads were attached for continuous monitoring during exposure. Following check-in and pre-exposure testing, subjects walked approximately 40 yards and took a two story elevator ride to the CEF located in the same building. Participants were confortably seated and asked to read or study during sessions. Subjects and real-time exposure data were continuously monitored by staff."	"Each exposure session lasted 60 minutes and occurred at approximately the same time of day in the early morning. Research technicians verified adherence to health, medication and dietary criteria. An ECG was recorded; blood was drawn for physiologic endpoints (to be reported elsewhere) and RNA extraction. ECG leads were attached for continuous monitoring during exposure. Following check-in and pre-exposure testing, subjects walked approximately 40 yards and took a two story elevator ride to the CEF located in the same building. Participants were confortably seated and asked to read or study during sessions. Subjects and real-time exposure data were continuously monitored by staff."	"Each exposure session lasted 60 minutes and occurred at approximately the same time of day in the early morning. Research technicians verified adherence to health, medication and dietary criteria. An ECG was recorded; blood was drawn for physiologic endpoints (to be reported elsewhere) and RNA extraction. ECG leads were attached for continuous monitoring during exposure. Following check-in and pre-exposure testing, subjects walked approximately 40 yards and took a two story elevator ride to the CEF located in the same building. Participants were confortably seated and asked to read or study during sessions. Subjects and real-time exposure data were continuously monitored by staff."	"Each exposure session lasted 60 minutes and occurred at approximately the same time of day in the early morning. Research technicians verified adherence to health, medication and dietary criteria. An ECG was recorded; blood was drawn for physiologic endpoints (to be reported elsewhere) and RNA extraction. ECG leads were attached for continuous monitoring during exposure. Following check-in and pre-exposure testing, subjects walked approximately 40 yards and took a two story elevator ride to the CEF located in the same building. Participants were confortably seated and asked to read or study during sessions. Subjects and real-time exposure data were continuously monitored by staff."	"Each exposure session lasted 60 minutes and occurred at approximately the same time of day in the early morning. Research technicians verified adherence to health, medication and dietary criteria. An ECG was recorded; blood was drawn for physiologic endpoints (to be reported elsewhere) and RNA extraction. ECG leads were attached for continuous monitoring during exposure. Following check-in and pre-exposure testing, subjects walked approximately 40 yards and took a two story elevator ride to the CEF located in the same building. Participants were confortably seated and asked to read or study during sessions. Subjects and real-time exposure data were continuously monitored by staff."
!Sample_molecule_ch1	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"
