Chromosome	Start	Stop	Strand	Gene Symbol	gene_biotype	gene_name	gene_source	RPI12_S5	RPI44_S20	RPI30_S11	RPI47_S22	RPI8_S3	RPI10_S4	RPI45_S21	RPI5_S2	RPI1_S1	RPI25_S7	RPI27_S9	RPI29_S10	RPI32_S13	RPI38_S15	RPI36_S14	RPI43_S19	RPI26_S8	RPI42_S18	RPI31_S12	RPI39_S16	RPI40_S17	RPI16_S6
5	146933592	146945881	+	A3galt2	protein_coding	A3galt2	ensembl	377.814	262.327	262.873	292.882	297.065	301.703	307.53	308.398	292.4	232.365	342.722	308.816	414.702	289.704	320.891	252.834	410.42	274.357	376.938	298.533	320.568	331.559
7	124085834	124089386	-	A4galt	protein_coding	A4galt	ensembl	0	2.38479	0	2.9684	4.32094	2.77641	0.909852	6.31532	2.47099	1.12254	0.954657	0.930168	3.75296	3.19526	0	1.93743	4.1042	3.25325	4.87	0	0.954072	2.21779
8	107859366	107865790	+	A4gnt	protein_coding	A4gnt	ensembl	2.99061	0	0	0	1.08024	0	3.63941	1.05255	0.823663	0	0.954657	0.930168	0	0	0	0	0	2.16883	0	0	0	0
20	5486474	5499011	-	AA926063	lincRNA	AA926063	ensembl_havana	129.561	155.806	155.958	172.429	124.198	151.777	121.92	190.512	185.324	159.4	125.06	124.643	132.45	137.362	176.788	155.963	121.32	241.825	147.074	202.206	172.687	138.903
1	699413	708066	+	AABR07000089.1	protein_coding	AABR07000089.1	ensembl	1.60E-15	0	2.75793	0	2.16047	3.49746	2.18243	5.78895	0	2.24507	2.38664	0	0.281042	0	0.515902	0	1.00597	1.06319	0	2.48E-35	0	0
1	1390128	1392330	-	AABR07000137.1	protein_coding	AABR07000137.1	ensembl	0	0	0	0.989467	0	1.17579	1.08E-09	0	0	0	0	0	1.87648	0	2.06361	0	2.0521	0	0.973999	0	1.90814	0
1	1439099	1442187	-	AABR07000145.1	lincRNA	AABR07000145.1	ensembl	0	3.17972	1.96174	1.97893	4.00801	4.62735	2.1191	3.15766	0	1.28288	1.90931	4.65084	5.62944	3.19526	3.09541	4.70287	2.38622	1.08442	0.973999	4.81506	2.25482	2.21779
1	1454868	1474847	-	AABR07000147.1	protein_coding	AABR07000147.1	ensembl	3.98748	0.794931	3.92348	0	1.08024	3.70188	2.43016	1.05255	1.12E-36	4.3298	2.86397	7.07918	1.87648	2.13017	2.45E-07	0.968714	3.70166	3.25325	0.973999	2.40753	0	3.32668
1	1545134	1546170	+	AABR07000156.1	protein_coding	AABR07000156.1	ensembl	131.593	75.122	144.305	127.602	45.9065	112.021	148.275	160.865	113.211	107.783	153.661	125.049	177.289	140.278	107.291	148.672	115.87	131.762	129.229	130.188	114.155	147.353
1	1617385	1619635	+	AABR07000158.1	protein_coding	AABR07000158.1	ensembl	0	0	0.980871	0	0	3.45156	4.54926	2.10511	0	0	3.81863	0	4.6912	0	0	0	2.0521	1.08442	0	0	0	2.21779
1	5238340	5238901	-	AABR07000222.1	processed_pseudogene	AABR07000222.1	ensembl	37.8914	55.8084	41.7262	85.1017	84.6242	46.4827	41.0677	76.2821	49.0468	57.9164	47.7056	38.8361	59.7817	49.0397	53.3195	35.946	45.9607	72.4386	42.845	68.2839	46.7411	44.1683
1	6278881	6279794	-	AABR07000248.1	pseudogene	AABR07000248.1	ensembl	0	0	2.94261	0	0	0	0	1.05255	0.823663	0	0.954657	0	0.938239	0	2.06361	0	0	2.16883	0.973999	0	0	0
1	7800941	7801439	-	AABR07000276.1	protein_coding	AABR07000276.1	ensembl	2.99061	0.795329	6.8661	15.8315	1.08024	2.77641	3.63941	4.21021	9.88395	1.12254	2.86397	2.7905	2.81472	2.13017	1.0318	1.93743	6.1563	2.16883	2.922	1.20376	12.4029	3.32668
1	11766992	11772216	+	AABR07000382.1	lincRNA	AABR07000382.1	ensembl	20.1472	15.1745	8.94835	9.49194	28.0614	24.2605	7.48834	10.2099	31.0262	21.9684	10.7658	30.0007	19.5315	20.7787	7.70121	11.2965	22.4414	10.8038	9.08111	9.55287	15.6132	23.8765
1	11834038	11840582	-	AABR07000385.2	lincRNA	AABR07000385.2	ensembl	28.7954	32.6485	39.7245	52.0653	15.3041	41.865	46.6886	39.5355	31.9106	46.7042	38.3824	30.3192	40.4173	33.3988	31.5776	38.4678	43.0407	40.4855	31.564	34.8576	37.1151	31.4193
1	11963836	11968940	+	AABR07000398.1	protein_coding	AABR07000398.1	ensembl	5580.48	6043.06	6044.13	5135.33	4055.21	6535.66	5481.86	5028.05	4589.45	6432.13	4947.03	4720.6	4975.48	4627.8	5681.12	3901.98	5279.03	5360.26	6956.3	6668.85	5686.27	6035.7
1	12006598	12136638	+	AABR07000411.1	lincRNA	AABR07000411.1	ensembl	8.46861	6.75309	4.76154	4.80326	3.93292	4.49259	1.1042	2.55476	2.99879	5.44923	4.63428	3.38655	5.84E-36	2.58518	2.50439	3.52689	6.22607	5.26418	1.18204	7.30442	1.15786	4.03726
1	12400648	12410193	+	AABR07000433.1	lincRNA	AABR07000433.1	ensembl	0.996871	0	0	0.989467	2.16047	2.77641	2.72956	1.05255	0.823663	1.12254	0.954657	0	0	0	1.0318	0.968714	1.02605	0	0	0	0.954072	3.32668
1	13351242	13354316	+	AABR07000451.1	lincRNA	AABR07000451.1	ensembl	0.996871	0	0	0	0	0.925469	0	3.15766	0	0	0	0.930168	0	0	1.0318	0	2.0521	0	0	0	0	1.10889
1	13344901	13382068	-	AABR07000452.1	lincRNA	AABR07000452.1	ensembl	0.996871	4.76959	6.8661	5.10884	6.48142	1.85094	3.63941	19.9985	10.7076	4.49015	6.6826	8.37151	7.50591	5.32544	2.06361	3.87486	9.23445	7.59091	3.896	9.63011	3.81629	9.98004
1	14938230	14950782	+	AABR07000493.1	lincRNA	AABR07000493.1	ensembl	2.99061	7.15438	7.84697	2.9684	2.16047	3.70188	0.909852	8.42043	13.1786	10.1028	5.72794	0.930168	6.56767	3.19526	3.09541	1.93743	7.18235	4.33766	1.948	4.81506	6.67851	11.0889
1	15540605	15540740	-	AABR07000497.1	snoRNA	AABR07000497.1	ensembl	3.84656	4.52337	1.20369	0	0	0.925469	0.909852	1.05255	0.823663	0.00089442	0	0.930168	0	0	2.06361	0	4.1042	2.16883	0	0	0	0
1	18511024	18511696	-	AABR07000583.1	protein_coding	AABR07000583.1	ensembl	2.99061	2.97761	0.980871	0.387741	0	0.27077	8.20E-10	2.10511	3.29465	3.36761	3.81863	0	1.87648	0	0.404332	0.379608	0.402077	0.849896	0.973999	0.201642	0.747742	1.30362
1	21145360	21146847	-	AABR07000658.2	pseudogene	AABR07000658.2	ensembl	10.9656	14.3088	23.5409	10.8841	41.049	17.5839	28.2054	43.1547	9.88395	13.4704	12.4105	26.9749	22.5177	11.716	9.28624	16.4681	15.3908	16.2662	30.194	18.0565	17.1733	14.4156
1	24825371	24828486	+	AABR07000725.1	lincRNA	AABR07000725.1	ensembl	0	0.794931	0	0	0	0	0	1.05255	0	2.24507	1.90931	1.86034	0	0	0	0	0	0	0	1.20376	0.954072	1.10889
1	24854907	24858317	-	AABR07000733.1	protein_coding	AABR07000733.1	ensembl	1.99374	3.17971	1.31627	0.989467	0	0.925469	4.15319	0	0.821622	2.24507	0.954657	0.034388	0	1.06509	5.15355	0	0	2.16346	0	0	0.954072	1.59E-13
1	24889958	24891462	-	AABR07000738.1	protein_coding	AABR07000738.1	ensembl	0.000816223	1.07445	2.94261	2.8289	2.16047	0	2.21868	0.439166	1.04512	7.25919	0.954657	1.42E-23	2.17391	5.01688	3.09541	2.90614	1.71E-15	3.97772	2.8763	1.20376	2.29794	5.32269
1	31000772	31004647	-	AABR07000986.1	lincRNA	AABR07000986.1	ensembl	0.996871	0.794931	2.94261	0	2.16047	1.85094	0.909852	1.05255	0	0	0	0	1.87648	3.19526	1.0318	0	2.0521	0	0.973999	0	1.90814	0
1	32453813	32476612	+	AABR07001003.1	lincRNA	AABR07001003.1	ensembl	14.9531	23.053	15.6939	42.5471	6.48142	23.1367	29.1153	32.6292	18.9442	22.4507	26.7304	17.6732	14.0736	23.4319	16.5089	17.4368	24.6252	10.8442	20.454	10.8339	25.76	21.069
1	35151638	35157158	-	AABR07001037.1	pseudogene	AABR07001037.1	ensembl	0	0	2.94261	0.989467	0	0.925469	0.909852	1.05255	1.64733	0	0.954657	0	0.938239	3.19526	4.12722	2.90614	1.02605	2.16883	2.922	3.61129	0	2.21779
1	36954496	36957301	-	AABR07001064.1	pseudogene	AABR07001064.1	ensembl	391.822	342.382	397.034	274.28	385.844	403.774	355.692	375.075	392.384	275.992	468.084	355.167	410.351	301.872	381.415	317.51	375.699	207.413	355.095	222.588	330.514	443.497
1	37059412	37162590	+	AABR07001068.1	lincRNA	AABR07001068.1	ensembl	16.9468	12.7189	14.7131	18.7999	11.8826	11.1056	20.0167	13.6832	17.2969	13.4704	22.9118	19.5335	18.7648	5.32544	22.6997	12.5933	20.521	19.5195	20.454	8.42635	12.4029	27.7223
1	37853553	37863757	-	AABR07001099.2	protein_coding	AABR07001099.2	ensembl	73.7684	84.2627	92.2019	74.21	99.3817	96.2488	84.6162	79.9941	80.719	78.5775	94.511	84.6453	91.9474	115.029	65.0037	71.6848	98.5008	81.3311	84.7379	89.0785	95.4072	78.7314
1	37988255	37990008	-	AABR07001100.1	protein_coding	AABR07001100.1	ensembl	18.9405	11.129	9.80871	6.92627	6.48142	5.55282	10.3766	5.26277	7.66318	12.3479	16.7418	8.37151	5.62943	8.44702	13.4135	4.05469	13.3387	8.67532	4.08566	12.0376	10.8933	15.5245
1	38814643	38835508	-	AABR07001207.1	lincRNA	AABR07001207.1	ensembl	4.98435	8.74424	16.6748	5.06392	6.67349	15.1922	13.5803	14.0324	9.06028	11.6737	9.61505	12.0922	9.62095	11.7881	3.18196	5.96816	14.3647	14.0974	8.04212	13.2414	10.5822	13.6467
1	38836865	38882497	-	AABR07001210.1	lincRNA	AABR07001210.1	ensembl	0	1.58986	0.980871	0.989467	0	0.925469	0	2.10511	1.98966	2.24507	0.000269942	0.000257545	2.06201	3.30541	1.0318	0.968714	0	1.08442	0.973999	3.61129	2.86222	1.10889
1	38895131	39035634	-	AABR07001233.1	lincRNA	AABR07001233.1	ensembl	1.03527	0	0.980871	0	3.24071	1.85094	2.72956	1.05255	0.823663	1.12254	2.86397	0.930168	0.938239	3.19526	0	5.81228	1.05191	1.08442	0.973999	2.40753	0.954072	2.21779
1	40232323	40255708	-	AABR07001358.1	lincRNA	AABR07001358.1	ensembl	0.996871	0	1.96174	0	0	0	0	0	0	2.24507	0.954657	0	0	0	2.06361	0.968714	0	3.25325	0.973999	0	0	0
1	41608418	42077536	-	AABR07001382.1	processed_transcript	AABR07001382.1	ensembl_havana	5092.06	4530.3	4774.83	3712.43	3178.08	4831.92	4772.17	4313.39	4531.67	4106.21	4957.53	4532.7	3891.84	4515.99	4051.96	3900.08	4911.72	3201.2	4178.53	3595.64	3556.82	4801.45
1	41594112	41594800	+	AABR07001382.2	lincRNA	AABR07001382.2	havana	3.27738	0.299472	5.08352	0.0238429	2.6615	5.81097	0.0986402	5.95E-13	5.74827	6.53E-07	0.0602253	3.1334	0.290657	3.00E-06	6.19971	0.00263201	0.0389532	6.21E-30	4.91979	1.23E-18	9.30921	5.24E-07
1	42133308	42134375	+	AABR07001389.1	lincRNA	AABR07001389.1	havana	327.97	359.309	427.66	300.798	402.928	350.753	363.031	384.182	387.945	405.236	371.361	357.185	324.631	326.982	357.004	368.111	438.123	349.182	371.094	397.242	325.339	337.103
1	42216726	42233318	+	AABR07001392.1	lincRNA	AABR07001392.1	ensembl	7.06545	36.0273	8.74586	29.4653	6.01052	8.64043	18.0652	5.04838	15.8124	0.0092207	4.52368	5.16818	26.3422	0.000248715	15.2476	0.639843	10.9257	5.84298	0.157034	23.6551	0.000429443	26.6359
1	42477399	42477469	+	AABR07001406.1	snoRNA	AABR07001406.1	ensembl	1.49531	0.397465	0.490436	1.4842	0.540118	0.462735	2.27463	0.526277	0.823663	2.80634	0	1.39525	2.81472	1.06509	1.0318	1.45307	1.02605	2.16883	0.973999	1.80565	0.477036	2.21779
1	43563457	43563999	-	AABR07001432.1	antisense	AABR07001432.1	havana	5.98122	12.7189	19.6174	20.7788	24.8454	17.5839	18.197	29.4715	22.2389	15.7155	17.1838	8.37151	14.0736	17.0414	19.6043	9.68714	22.5731	28.1948	12.662	26.4828	17.1733	12.1978
1	43662162	43663522	+	AABR07001433.1	processed_pseudogene	AABR07001433.1	havana	2.99061	5.56452	3.94701	4.99442	9.72213	7.56214	3.63941	3.18112	2.47099	12.4876	9.59471	5.61794	8.44415	4.33018	5.20336	6.83038	12.3927	3.25325	4.9057	3.61129	3.87353	8.87114
1	43933275	43934513	-	AABR07001435.1	pseudogene	AABR07001435.1	ensembl	16.4802	0	5.88523	0	6.48142	5.37445	5.4452	6.61267	9.0465	3.36761	21.1674	10.7948	4.05633	5.32544	6.19083	1.93743	7.57233	3.25325	6.818	4.81506	3.81629	8.59639
1	44201653	44228244	+	AABR07001444.1	lincRNA	AABR07001444.1	ensembl	1.99374	6.35945	12.7513	1.97893	0	5.55282	5.45911	5.26277	3.29465	0	4.77328	9.30168	0	7.45561	0	0.968714	2.0521	3.25325	6.818	2.40753	5.72443	7.76225
1	46740305	46744648	-	AABR07001477.1	lincRNA	AABR07001477.1	ensembl	2.99061	1.58986	6.8661	3.95787	1.08024	4.62735	2.72956	2.10511	2.47099	4.49015	2.86397	2.7905	2.81472	3.19526	3.09541	2.90614	5.13025	2.16883	4.87	3.61129	3.81629	6.65336
1	48565160	48565712	-	AABR07001512.1	protein_coding	AABR07001512.1	ensembl	37.3962	34.1229	18.3514	21.5743	20.1233	23.2711	17.9085	15.0511	17.9667	37.0127	25.7878	31.7492	24.2444	17.218	28.8258	20.3079	20.0693	14.7697	22.741	7.80913	22.5821	24.2687
1	48681243	48686714	-	AABR07001516.1	protein_coding	AABR07001516.1	ensembl	22.1421	9.71005	12.2116	7.934	6.33664	23.6866	23.8687	7.87593	31.5972	5.17204	19.5272	14.1377	16.9911	18.5435	11.778	14.0213	18.6585	10.0697	26.6695	16.0243	17.1118	27.8554
1	49290112	49844548	-	AABR07001519.1	protein_coding	AABR07001519.1	ensembl	6.97809	3.97465	6.8661	2.9684	6.48142	3.70188	7.27882	5.26277	8.23663	2.24507	6.6826	10.2318	9.38239	10.6509	4.12722	3.87486	2.0521	2.16883	3.896	2.40753	1.90814	4.43557
1	51525068	51525580	-	AABR07001555.1	lincRNA	AABR07001555.1	ensembl	3.98748	0.794931	3.92348	2.9684	2.16047	0.925469	0.909852	1.05255	0.823663	2.24507	1.90931	2.7905	3.75296	7.45561	3.09541	4.84357	1.02605	3.25325	1.948	3.61129	3.81629	2.21779
1	53841653	53844519	+	AABR07001591.1	lincRNA	AABR07001591.1	ensembl	27.9124	16.6935	31.3879	29.684	14.0431	18.5094	18.197	10.5255	8.23663	26.9409	21.0024	8.37151	8.44415	17.0414	20.6361	14.5307	23.5992	28.1948	21.428	15.6489	17.1733	23.2868
1	54324892	54325373	+	AABR07001623.1	lincRNA	AABR07001623.1	ensembl	18.9405	7.94931	0.980871	11.8736	11.8826	7.40375	15.4675	12.6306	6.5893	14.593	0	8.37151	4.6912	18.1065	7.22263	9.68714	18.4689	4.33766	6.818	7.22258	6.67851	0
1	54439977	54441580	-	AABR07001634.1	lincRNA	AABR07001634.1	ensembl	107.662	98.3444	52.6085	57.3891	90.7398	73.1121	63.6896	70.5211	102.958	138.072	76.3725	63.9119	74.1209	53.2544	137.23	128.839	20.521	116.032	42.856	62.5957	84.9124	119.76
1	54879971	54883563	-	AABR07001662.1	lincRNA	AABR07001662.1	ensembl	17.9437	9.53917	11.7705	12.8631	10.8024	17.5839	13.6478	18.946	14.8259	8.98029	14.3198	5.58101	25.3325	10.6509	21.6679	10.6559	15.3908	6.50649	14.61	2.40753	11.4489	18.8512
1	55707398	55754358	+	AABR07001734.1	lincRNA	AABR07001734.1	ensembl	2.99061	8.74424	1.96174	16.8209	2.16047	4.62735	9.09852	3.15766	3.29465	5.61268	0	8.37151	1.87648	8.5207	1.0318	1.93743	7.18235	8.67532	3.896	12.0376	0	1.10889
1	57666864	57667633	+	AABR07001780.1	lincRNA	AABR07001780.1	ensembl	0	3.17972	0	0.989467	1.08024	1.85094	1.8197	2.10511	2.47099	1.12254	0.954657	1.86034	0.938239	1.06509	3.09541	1.93743	2.0521	3.25325	0	2.40753	3.81629	1.10889
1	58339947	58345451	-	AABR07001807.1	pseudogene	AABR07001807.1	ensembl	0	0	0.980871	0	0	0	1.10E-10	0.563968	0.823663	2.30E-15	3.43757	0.930168	0	4.26035	0	1.29246	1.02605	0	0	0	0	0
1	58335057	58335197	+	AABR07001807.2	snoRNA	AABR07001807.2	ensembl	0	0	2.89804	0.730859	0	0	0	1.55491	1.21678	0	0	2.31E-15	0.69302	0	0.762132	0.71553	0.757881	0.800992	0	0	0	0.819072
1	61374379	61377591	+	AABR07001896.1	protein_coding	AABR07001896.1	ensembl	40.7886	50.8629	62.3542	54.0317	50.4163	65.2761	54.1759	61.3499	56.5794	63.0046	38.6084	60.5956	56.6551	52.6374	58.2575	70.0576	55.6258	93.4581	46.3681	61.5449	66.0896	53.3467
1	61553449	61553971	+	AABR07001902.1	protein_coding	AABR07001902.1	ensembl	61.9556	110.942	67.0834	119.152	69.5241	44.6582	67.5733	66.5296	56.8698	65.4052	73.6771	66.2691	48.0457	67.5568	84.0068	85.3547	71.1559	96.7496	79.1268	92.7592	76.7459	52.2708
1	61786900	61818160	+	AABR07001905.1	protein_coding	AABR07001905.1	ensembl	47.8498	38.1567	45.1201	33.6419	43.2094	36.0933	33.6645	48.4175	51.0671	41.5338	36.277	37.2067	36.5913	48.994	33.0178	44.5608	41.042	33.6169	33.116	32.5016	30.5303	35.4846
1	61733805	61740312	+	AABR07001905.2	protein_coding	AABR07001905.2	ensembl	71.7747	84.2627	96.1254	103.894	58.3328	97.1743	94.6246	89.467	84.8373	115.621	72.5539	84.6453	83.5033	101.183	60.8765	105.59	106.709	121.455	74.998	120.376	79.188	76.5136
1	61870347	61872976	-	AABR07001910.1	protein_coding	AABR07001910.1	ensembl	29.9061	34.182	39.2348	48.4839	31.3268	44.4225	39.1236	47.3649	41.1831	43.7789	36.277	40.9274	32.8384	34.0828	39.2086	52.3105	41.042	40.1234	39.934	24.0753	26.714	29.9401
1	62112797	62114673	-	AABR07001923.1	protein_coding	AABR07001923.1	ensembl	25.9186	23.8479	53.9479	24.7367	30.2466	39.7952	34.5744	51.5751	40.3595	50.5141	28.6397	34.4162	34.7148	47.9289	54.6857	44.5608	38.9899	45.5454	27.272	45.743	36.2548	34.3757
1	62190247	62191819	-	AABR07001926.1	protein_coding	AABR07001926.1	ensembl	3.98748	0.794931	5.88523	0	0	0	5.45911	2.10511	4.11831	4.49015	1.90931	0.930168	0.938239	3.19526	1.0318	1.93743	0	3.25325	0	0	3.81629	3.32668
1	62207548	62223308	-	AABR07001926.2	lincRNA	AABR07001926.2	ensembl	0	0	3.92348	0.989467	1.08024	2.77641	1.8197	1.05255	0.823663	2.24507	0	0	0.938239	5.32544	0	0	1.02605	3.25325	0.973999	1.20376	3.81629	0
1	62314276	62316451	-	AABR07001926.3	protein_coding	AABR07001926.3	ensembl	43.8623	32.5922	39.2348	32.6524	33.4873	57.3791	24.566	44.2072	36.2412	39.2888	28.6397	29.7654	24.3942	66.0354	27.8587	39.7173	37.9639	39.039	50.648	25.279	27.6681	47.6824
1	62333297	62362554	-	AABR07001929.1	lincRNA	AABR07001929.1	ensembl	2.99061	1.58986	2.94261	1.97893	0	1.85094	3.63941	6.31532	2.47099	3.36761	2.86397	0	0.938239	3.19526	3.09541	1.93743	1.02605	1.08442	3.896	6.01882	0.954072	0
1	62507149	62538223	-	AABR07001942.1	lincRNA	AABR07001942.1	ensembl	1.99374	0.794931	0.980871	1.97893	0	0	0	2.10511	0	2.24507	0	0	0.938239	0	0	0	3.07815	0	0.973999	0	0	0
1	64816762	64830954	-	AABR07002010.1	lincRNA	AABR07002010.1	ensembl	9.403	6.63028	4.57828	4.2288	8.55097	5.79292	3.02672	9.20953	10.1102	3.62942	3.12877	4.00598	23.4968	3.80485	5.60565	9.06207	7.06696	7.04589	3.46427	6.70827	10.0018	9.56534
1	65597103	65597900	-	AABR07002065.1	protein_coding	AABR07002065.1	ensembl	4.98435	0.794931	1.96174	2.9684	4.32094	0	0	3.15766	3.29465	4.49015	6.6826	3.72067	7.50591	1.06509	4.12722	1.93743	2.0521	0	4.87	3.61129	1.90814	2.21779
1	65590404	65612491	-	AABR07002065.2	protein_coding	AABR07002065.2	ensembl	36.8842	60.0444	59.1865	74.4762	52.3522	55.0006	57.748	50.5045	59.7622	52.7592	33.8887	43.5166	60.485	59.0661	54.1106	54.352	48.7138	65.076	43.5226	86.787	60.0938	59.1073
1	66189220	66212419	-	AABR07002093.1	protein_coding	AABR07002093.1	ensembl	3.98748	1.58986	2.94261	3.95787	0	1.85094	3.63941	1.05255	1.64733	0	3.81863	0	0	3.19526	1.0318	0	1.02605	0	0	0	1.90814	0
1	69681569	69692766	+	AABR07002247.1	protein_coding	AABR07002247.1	ensembl	23.8124	25.5079	17.8781	28.3581	22.0536	29.0923	34.4989	23.0459	16.598	12.3149	22.4311	22.6889	22.2222	29.8888	21.324	23.5311	20.3238	27.9306	39.1802	21.1408	22.083	12.5429
1	71206130	71223666	-	AABR07002337.1	lincRNA	AABR07002337.1	ensembl	3.98748	2.38479	0.980871	1.97893	0	4.62735	2.72956	1.05255	0.823663	4.49015	1.90931	1.86034	0.938239	2.13017	3.09541	3.87486	2.0521	1.08442	1.948	2.40753	2.86222	2.21779
1	71924089	71924491	-	AABR07002353.2	processed_pseudogene	AABR07002353.2	ensembl	1.99374	0.798186	0	0	0	1.85405	0.911544	1.05451	0.824425	0	3.82124	0.931963	0.94187	5.34445	0	0	1.02666	1.08442	0.976974	2.41123	0.959137	0
1	75636336	75645843	+	AABR07002493.1	lincRNA	AABR07002493.1	ensembl	12.4185	3.38114	9.16168	2.01973	13.6583	9.85405	4.68132	8.23006	8.03964	16.7274	1.98368	16.2039	10.7968	8.04497	8.84007	7.1351	9.84117	5.58324	10.3	7.45063	5.82037	19.5876
1	76651142	76653154	-	AABR07002546.1	pseudogene	AABR07002546.1	ensembl	31.871	39.5057	36.666	28.699	36.2617	49.3464	30.9053	40.4955	28.3844	30.6164	30.3985	33.9851	49.4953	43.9192	51.3086	27.4534	36.8071	28.7018	45.0996	25.1156	57.297	49.301
1	77111595	77111880	+	AABR07002564.1	processed_pseudogene	AABR07002564.1	ensembl	2.33299	11.4864	16.1079	10.0961	10.4164	15.4025	13.4921	12.6121	10.2395	5.34914	11.2923	12.9018	13.3849	4.34739	8.4352	6.05664	11.7992	1.78067	17.0026	3.54223	3.50072	7.72893
1	77782825	77789398	+	AABR07002623.1	protein_coding	AABR07002623.1	ensembl	0	1.58986	0.980871	2.9684	1.08024	0.925469	0.909852	2.10511	0.823663	1.12254	0	0	0	0	0	0.968714	0	2.16883	0	0	0	0
1	78112559	78149054	+	AABR07002627.1	lincRNA	AABR07002627.1	ensembl	634.767	850.666	946.609	911.876	749.389	793.279	884.264	818.121	797.909	838.241	699.148	851.121	771.619	906.255	918.48	918.091	813.455	1409.34	881.104	951.334	679.346	650.759
1	80190219	80191619	-	AABR07002674.1	lincRNA	AABR07002674.1	ensembl	0.996871	7.94931	9.80871	0.989467	1.08024	3.70188	2.72956	7.36787	4.11831	6.73522	1.90931	2.7905	0.938239	2.13017	1.0318	1.93743	1.02605	0	5.844	2.40753	0.954072	6.65336
1	80372505	80382704	+	AABR07002677.2	lincRNA	AABR07002677.2	ensembl	0	0	0	0	0	0.925469	0	0	0.823663	0	0.954657	0	0.938239	0	1.0318	0.968714	2.0521	0	0.973999	0	1.90814	0
1	80944126	80951320	+	AABR07002682.1	lincRNA	AABR07002682.1	ensembl	0	0.794931	0	2.9684	1.08024	5.55282	4.54926	1.05255	4.11831	4.49015	3.81863	1.86034	2.81472	4.26035	4.12722	0	2.0521	3.25325	2.922	0	2.86222	2.21779
